"","vd_0f","vd_1f","vd_2f","exp_x1_K","exp_x1_T","exp_x1_S.R","exp_x1_G","exp_x2_K","exp_x2_T","exp_x2_S.R","exp_x2_G","neg.ev_1","neg.ev_2.R","neg.ev_3","neg.ev_4.R","neg.ev_5","neg.ev_6","neg.ev_7.R","neg.ev_8","neg.ev_9","neg.ev_10.R","neg.ev_11","neg.ev_12","gender","income","age","employ","r_amount","r_type"
"409",1,3,2,9,9,9,9,9,9,9,9,5,2,5,1,4,5,4,4,3,2,4,5,1,1,60,2,2,2
"423",1,3,2,7,8,8,8,8,7,8,6,4,3,5,2,5,5,1,4,5,1,4,4,1,1,44,2,2,2
"427",3,1,2,9,9,9,9,9,7,9,7,3,1,3,3,3,3,1,3,3,1,3,3,1,4,52,1,2,2
"430",1,3,2,8,8,7,8,7,8,7,8,4,2,3,3,3,3,2,4,3,3,3,3,2,4,27,1,2,2
"438",1,3,2,5,6,6,6,5,6,6,6,4,1,4,2,4,3,1,5,4,1,4,4,2,2,48,1,2,2
"440",2,1,3,9,9,9,9,6,7,8,7,2,4,1,4,3,2,1,2,2,1,1,1,2,4,30,1,2,2
"443",1,2,3,9,9,9,9,9,9,9,9,1,4,2,3,1,2,5,1,1,4,1,1,1,2,56,3,2,2
"453",1,3,2,7,8,8,7,7,7,6,6,4,1,3,2,4,4,2,4,3,1,3,2,2,1,59,5,2,2
"465",1,2,3,9,9,9,9,9,9,9,9,5,5,5,5,5,5,5,5,5,5,5,5,2,1,73,5,2,2
"466",1,3,2,7,8,8,8,8,7,8,8,2,1,4,1,2,3,1,2,2,1,3,2,2,3,29,6,2,2
"467",1,3,2,7,6,7,7,6,5,6,5,4,1,4,2,3,4,4,2,3,2,2,2,2,3,40,1,2,2
"472",1,3,2,9,9,9,9,9,9,9,6,1,1,2,1,2,2,1,1,1,1,1,1,2,1,48,2,2,2
"477",1,3,2,9,9,9,9,9,9,9,9,3,3,3,3,4,5,1,3,4,2,4,3,1,5,47,6,2,2
"486",1,3,2,8,7,7,7,7,6,6,5,4,2,5,3,5,5,3,5,5,4,5,5,1,4,69,5,2,2
"488",2,3,1,6,6,6,5,7,7,5,6,4,3,4,3,4,4,3,3,4,3,3,4,1,4,44,1,2,2
"499",1,3,2,8,8,8,8,9,9,9,9,5,5,3,2,5,4,3,5,3,4,4,4,1,4,48,1,2,2
"501",1,2,3,6,7,7,7,6,6,6,6,4,3,4,2,3,3,2,3,3,4,3,4,2,1,78,5,2,2
