"","gender","age","income","employment","B2vsC3","C3vsE5","A1vsE5","A1vsC3","A1vsD4","C3vs6F","A1vsB2","E5vs6F","A1vs6F","C3vsD4","D4vs6F","B2vs6F","D4vsE5","B2vsE5","B2vsD4","condition"
"206",1,64,5,3,3,3,5,3,4,3,2,5,6,3,4,5,5,5,4,3
"207",1,60,1,2,2,3,1,3,4,6,2,6,6,4,4,2,4,2,2,3
"208",2,35,2,1,3,5,5,3,1,3,1,5,1,3,6,5,5,5,4,3
"209",1,23,4,1,3,5,5,3,4,6,1,5,6,3,6,5,5,5,4,3
"210",2,18,4,2,3,3,5,3,1,3,2,5,1,3,4,2,4,2,2,3
"211",2,22,6,1,3,3,5,3,4,3,2,6,6,4,4,2,4,2,4,3
"212",1,67,5,1,3,5,5,3,1,3,1,5,1,3,6,5,5,5,4,3
"213",1,50,6,1,3,5,5,3,4,6,1,6,6,4,6,5,5,5,4,3
"214",2,45,1,1,2,3,1,3,1,3,1,5,1,4,4,2,5,5,4,3
"215",2,42,1,3,3,5,5,3,4,6,1,5,6,3,6,5,5,5,4,3
"216",1,24,4,2,3,5,5,1,1,3,1,5,1,3,4,2,4,2,2,3
"217",1,70,5,5,3,5,5,3,4,6,1,5,6,3,6,5,5,5,4,3
"218",1,39,1,4,2,3,1,1,1,3,1,5,1,3,4,2,4,2,2,3
"219",2,39,1,3,3,5,5,3,4,3,2,5,6,3,4,2,4,5,4,3
"220",2,26,2,5,2,5,5,3,4,6,2,6,6,4,6,5,5,5,4,3
"221",2,69,2,5,3,3,5,3,4,3,2,5,6,3,4,5,4,2,4,3
"222",2,63,1,5,3,5,5,3,4,6,1,5,6,3,6,5,5,5,4,3
"223",1,32,3,3,3,5,5,3,4,6,1,5,6,3,6,5,5,5,4,3
"224",1,45,1,4,2,3,1,3,4,3,2,5,1,4,4,2,4,2,2,3
"225",2,37,1,3,3,5,5,3,4,3,1,5,6,3,6,5,5,5,4,3
"226",1,36,1,3,3,5,5,3,4,6,1,5,6,3,6,5,5,5,4,3
"227",1,67,5,5,2,5,5,3,4,6,2,6,6,4,4,5,4,2,4,3
